movie_title,rating
Independence Day,4
The Invasion,5
Earth to Echo,5
Alien,5
The Fourth Kind,4
Dreamcatcher,4
Vessel,5
Attack the Block,5
Escape from Planet Earth,4
Edge of Tomorrow,3
Paul,5
Men in Black,3
Galaxy Quest,4
Star Wars: Episode I - The Phantom Menace,5
The Lost Skeleton of Cadavra,5
Howard the Duck,5
Men in Black,5
Paul,4
10 Cloverfield Lane,4
Independence Day: Resurgence,5
Muppets from Space,5
Dreamcatcher,5
Dreamcatcher,4
Alien: Resurrection,3
Aliens,5
Meet Dave,5
Lifeforce,4
10 Cloverfield Lane,5
The Lost Skeleton of Cadavra,5
My Stepmother Is an Alien,4
Men in Black II,4
Starship Troopers,4
Men in Black 3,4
The Host,5
Earth to Echo,4
Star Trek: Insurrection,4
Invaders from Mars,4
Impostor,4
10 Cloverfield Lane,5
Attack the Block,4
The Haunting in Connecticut 2: Ghosts of Georgia,3
Girl House,2
Unfriended,1
Cry_Wolf,1
Soul Survivors,1
Red Riding Hood,1
A Sound of Thunder,2
The Rite,2
Sinister 2,1
Blade II,2
What Lies Beneath,2
The Reaping,1
The Skeleton Key,1
The Dark Hours,2
The Grudge 2,1
Exeter,2
eXistenZ,2
Arachnophobia,1
Antiviral,2
Devil,1
From Hell,2
The Mummy: Tomb of the Dragon Emperor,1
The Loved Ones,1
The Unborn,2
Urban Legend,1
The Haunting of Molly Hartley,1
The Lazarus Effect,1
The Ridges,2
The Dark Hours,2
The Purge: Anarchy,1
Cat People,3
Funny Games,2
Exorcist: The Beginning,1
The Visit,2
Urban Legends: Final Cut,2
Wolf,2
Club Dread,3
After,1
Devil,2
Insidious,1
